,id_str,created_at,full_text,sentiment,sentiment_label,sentiment_score
0,1484418031581233154,2022-01-21 06:50:12+00:00, watching only the one without amber heard.....,"[{'label': 'Neutral', 'score': 0.8662841320037842}]",Neutral,0.8662841320037842
1,1484485396167905284,2022-01-21 11:17:53+00:00," only watching #avatar. love #aquaman2, but hate that #amberheard is in it. she completely ruined the movie. it would have been a masterpiece if heard wasn't in it. #amberheardisanabuser and a psychopath and bad actor. no to violence. she should be fired. justice for #johnnydepp","[{'label': 'Negative', 'score': 0.9285621047019958}]",Negative,0.9285621047019958
2,1484613837533835264,2022-01-21 19:48:16+00:00, no. my family and friends will not contribute a solitary penny to anything amber heard is attached to. avatar for the clear win.,"[{'label': 'Negative', 'score': 0.6934016346931458}]",Negative,0.6934016346931458
3,1483753192668151812,2022-01-19 10:48:22+00:00," nope, won't be watching either. avatar was visually exciting, but the story was incredibly derivative. no interest in a sequel all these years later. i really want to see aquaman 2, but amber heard is a deal breaker for me.","[{'label': 'Negative', 'score': 0.8958269953727722}]",Negative,0.8958269953727722
4,1483750400880693250,2022-01-19 10:37:16+00:00," chocolate. pirates of the caribbean.  benny and joon... you get the drift.
#amberheardisanabuser 
#justiceforjohnnydepp","[{'label': 'Neutral', 'score': 0.8372517824172974}]",Neutral,0.8372517824172974
5,1483746644197838850,2022-01-19 10:22:21+00:00," not if amber heard is in it, no","[{'label': 'Neutral', 'score': 0.7098822593688965}]",Neutral,0.7098822593688965
6,1483746137869885440,2022-01-19 10:20:20+00:00, will never understand why they didn't recast amber heard #aquaman2 makes no sense to me.,"[{'label': 'Negative', 'score': 0.8605921268463135}]",Negative,0.8605921268463135
7,1483743716003266561,2022-01-19 10:10:43+00:00, i'll only watch avatar cause avatar doesn't have amber heard in it😬,"[{'label': 'Negative', 'score': 0.7554001212120056}]",Negative,0.7554001212120056
8,1483743313056387073,2022-01-19 10:09:07+00:00, avatar 100%. amber heard never.,"[{'label': 'Neutral', 'score': 0.7222523093223572}]",Neutral,0.7222523093223572
9,1483742570425552896,2022-01-19 10:06:10+00:00, the one that doesn’t have amber heard . i would be watching,"[{'label': 'Neutral', 'score': 0.7652856111526489}]",Neutral,0.7652856111526489
10,1483740943802978306,2022-01-19 09:59:42+00:00, thing is it didn’t stopped people from watching the snyder cut knowing that amber heard was in it so i won’t be surprised that people will still go see aquaman 2 despite having her as well and the only ones who will watch avatar 2 are people who actually liked the first one,"[{'label': 'Neutral', 'score': 0.5675657987594604}]",Neutral,0.5675657987594604
11,1483739208988516354,2022-01-19 09:52:48+00:00," hell no, spousal abusers shouldn’t get any more acting work in my books, common amber heard l","[{'label': 'Negative', 'score': 0.9214670062065125}]",Negative,0.9214670062065125
12,1483656076734119940,2022-01-19 04:22:28+00:00," amber heard is in it, so no i wont be watching aquaman 2.","[{'label': 'Negative', 'score': 0.5512591600418091}]",Negative,0.5512591600418091
13,1483655942994550786,2022-01-19 04:21:56+00:00," probably neither. mainly because:
1. i don’t care too much about avatar
2. i’d watch anything else that doesn’t involve amber heard","[{'label': 'Neutral', 'score': 0.6061047315597534}]",Neutral,0.6061047315597534
14,1483653842818453515,2022-01-19 04:13:35+00:00, won’t pay to watch aquaman because of amber heard #justiceforjohnnydepp,"[{'label': 'Negative', 'score': 0.812920331954956}]",Negative,0.812920331954956
15,1483653497602117635,2022-01-19 04:12:13+00:00, i won’t watch anything with amber heard in it,"[{'label': 'Negative', 'score': 0.7837006449699402}]",Negative,0.7837006449699402
16,1483653471094067205,2022-01-19 04:12:07+00:00, avatar is gonna eat aquaman up. especially since people don’t like amber heard,"[{'label': 'Negative', 'score': 0.6626909375190735}]",Negative,0.6626909375190735
17,1483653186997166081,2022-01-19 04:10:59+00:00, note: i will only be watching aquaman 2 for james wan because he is amazing but amber heard is anything but.,"[{'label': 'Positive', 'score': 0.7689043879508972}]",Positive,0.7689043879508972
18,1483652644619051010,2022-01-19 04:08:50+00:00," such a shame amber heard is involved, would of loved a double feature that day.","[{'label': 'Negative', 'score': 0.8034958243370056}]",Negative,0.8034958243370056
19,1483652613983797248,2022-01-19 04:08:42+00:00, if aquaman still has amber heard in it then no,"[{'label': 'Neutral', 'score': 0.5805216431617737}]",Neutral,0.5805216431617737
20,1483652562612105227,2022-01-19 04:08:30+00:00," avatar 2 is a james cameron film and it doesn’t have amber heard in it, so avatar 2.","[{'label': 'Neutral', 'score': 0.5879268050193787}]",Neutral,0.5879268050193787
